fecha,PN01273PM
1/1/00,3.783740
2/1/00,3.954629
3/1/00,3.881437
4/1/00,3.800795
5/1/00,3.331328
6/1/00,3.212376
7/1/00,3.472907
8/1/00,3.779656
9/1/00,3.878915
10/1/00,4.246504
11/1/00,4.024487
12/1/00,3.734235
1/1/01,3.856948
2/1/01,3.614293
3/1/01,3.579926
4/1/01,2.623670
5/1/01,2.631380
6/1/01,2.506538
7/1/01,2.156164
8/1/01,1.372166
9/1/01,0.874859
10/1/01,0.678419
11/1/01,0.118321
12/1/01,-0.127352
1/1/02,-0.832736
2/1/02,-1.114360
3/1/02,-1.084349
4/1/02,0.053616
5/1/02,0.168196
6/1/02,-0.002035
7/1/02,-0.140234
8/1/02,0.264299
9/1/02,0.675922
10/1/02,1.360751
11/1/02,1.455986
12/1/02,1.515844
1/1/03,2.282565
2/1/03,2.802516
3/1/03,3.394930
4/1/03,2.594109
5/1/03,2.419074
6/1/03,2.166704
7/1/03,1.979265
8/1/03,1.890188
9/1/03,1.976431
10/1/03,1.299142
11/1/03,1.875869
12/1/03,2.483754
1/1/04,2.796658
2/1/04,3.428220
3/1/04,2.755869
4/1/04,2.784744
5/1/04,3.181487
6/1/04,4.256499
7/1/04,4.613930
8/1/04,4.589875
9/1/04,4.026242
10/1/04,3.950570
11/1/04,4.074400
12/1/04,3.481081
1/1/05,3.030979
2/1/05,1.684863
3/1/05,1.876924
4/1/05,2.021208
5/1/05,1.789914
6/1/05,1.486190
7/1/05,1.396551
8/1/05,1.224094
9/1/05,1.111786
10/1/05,1.282228
11/1/05,1.061092
12/1/05,1.494260
1/1/06,1.899283
2/1/06,2.698927
3/1/06,2.501964
4/1/06,2.902459
5/1/06,2.230036
6/1/06,1.825985
7/1/06,1.546203
8/1/06,1.870670
9/1/06,1.994709
10/1/06,1.891853
11/1/06,1.535270
12/1/06,1.137485
1/1/07,0.644192
2/1/07,0.355107
3/1/07,0.246889
4/1/07,-0.084042
5/1/07,0.940332
6/1/07,1.549031
7/1/07,2.206143
8/1/07,2.203654
9/1/07,2.801517
10/1/07,3.079191
11/1/07,3.485607
12/1/07,3.927679
1/1/08,4.148628
2/1/08,4.821298
3/1/08,5.545200
4/1/08,5.519928
5/1/08,5.391425
6/1/08,5.706027
7/1/08,5.790114
8/1/08,6.269298
9/1/08,6.221452
10/1/08,6.538181
11/1/08,6.748910
12/1/08,6.650207
1/1/09,6.526483
2/1/09,5.490002
3/1/09,4.778363
4/1/09,4.636911
5/1/09,4.206876
6/1/09,3.059863
7/1/09,2.681894
8/1/09,1.867416
9/1/09,1.204568
10/1/09,0.711182
11/1/09,0.288402
12/1/09,0.245316
1/1/10,0.435719
2/1/10,0.835043
3/1/10,0.755261
4/1/10,0.761653
5/1/10,1.044780
6/1/10,1.643407
7/1/10,1.823251
8/1/10,2.308855
9/1/10,2.365357
10/1/10,2.095088
11/1/10,2.217712
12/1/10,2.076444
1/1/11,2.172642
2/1/11,2.233559
3/1/11,2.663426
4/1/11,3.336271
5/1/11,3.066620
6/1/11,2.910653
7/1/11,3.350536
8/1/11,3.347756
9/1/11,3.726329
10/1/11,4.200586
11/1/11,4.641859
12/1/11,4.738421
1/1/12,4.225364
2/1/12,4.165754
3/1/12,4.231487
4/1/12,4.076847
5/1/12,4.142396
6/1/12,4.001071
7/1/12,3.276115
8/1/12,3.525981
9/1/12,3.741136
10/1/12,3.246630
11/1/12,2.661792
12/1/12,2.649369
1/1/13,2.872076
2/1/13,2.446633
3/1/13,2.591825
4/1/13,2.306950
5/1/13,2.464773
6/1/13,2.770735
7/1/13,3.241124
8/1/13,3.276566
9/1/13,2.830841
10/1/13,3.038482
11/1/13,2.955139
12/1/13,2.859681
1/1/14,3.066631
2/1/14,3.779297
3/1/14,3.377928
4/1/14,3.523155
5/1/14,3.555644
6/1/14,3.449653
7/1/14,3.331164
8/1/14,2.685209
9/1/14,2.738262
10/1/14,3.088040
11/1/14,3.159102
12/1/14,3.224061
1/1/15,3.073263
2/1/15,2.768585
3/1/15,3.020199
4/1/15,3.017413
5/1/15,3.366202
6/1/15,3.544910
7/1/15,3.562925
8/1/15,4.042673
9/1/15,3.904555
10/1/15,3.660205
11/1/15,4.172567
12/1/15,4.397929
1/1/16,4.608688
2/1/16,4.473757
3/1/16,4.301081
4/1/16,3.907213
5/1/16,3.540618
6/1/16,3.341619
7/1/16,2.961959
8/1/16,2.942531
9/1/16,3.126671
10/1/16,3.405288
11/1/16,3.349632
12/1/16,3.234882
1/1/17,3.096364
2/1/17,3.249793
3/1/17,3.974854
4/1/17,3.694716
5/1/17,3.039803
6/1/17,2.732444
7/1/17,2.852069
8/1/17,3.173810
9/1/17,2.944995
10/1/17,2.040143
11/1/17,1.544338
12/1/17,1.364856
1/1/18,1.253188
2/1/18,1.179561
3/1/18,0.363136
4/1/18,0.484870
5/1/18,0.930693
6/1/18,1.429334
7/1/18,1.616101
8/1/18,1.070575
9/1/18,1.280281
10/1/18,1.840894
11/1/18,2.167097
12/1/18,2.192523
1/1/19,2.129158
2/1/19,2.003385
3/1/19,2.247441
4/1/19,2.592645
5/1/19,2.725128
6/1/19,2.294781
7/1/19,2.111913
8/1/19,2.039723
9/1/19,1.851007
10/1/19,1.880562
11/1/19,1.866797
12/1/19,1.900092
